Anchor,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,original_shape_Elongation,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,diagnostics_Mask-original_BoundingBox_0,diagnostics_Mask-original_BoundingBox_1,diagnostics_Mask-original_BoundingBox_3,diagnostics_Mask-original_BoundingBox_4,diagnostics_Mask-original_BoundingBox_5,diagnostics_Mask-original_CenterOfMassIndex_0,diagnostics_Mask-original_CenterOfMassIndex_1,diagnostics_Mask-original_CenterOfMass_0,diagnostics_Mask-original_CenterOfMass_1,diagnostics_Image-original_Size_0,diagnostics_Image-original_Size_1,diagnostics_Image-original_Size_2,diagnostics_Mask-original_Spacing_0,diagnostics_Mask-original_Spacing_1,diagnostics_Mask-original_Size_0,diagnostics_Mask-original_Size_1
10001.png,3643.730798837776,0.0,16383.0,146995,4,0.4899278393330982,171.8030206382452,140.9372,124.4544,182.8456817988328,182.8456817988328,5017.012044899756,84.17108269219514,0.1342288955934111,10558.48328399688,2.104536164056159,5041.787384800001,3973.0,4698.0,2727307575380.0,5.481601132569333,383.0,13.48946788293967,5782.0,232.06175503551108,4296.972577298548,4245.0,0.0,5782.0,161.0887658014864,4307.40569686783,0.1798140049128356,93544031620.26164,0.0267066600547278,89770.50735371331,29814.315794183945,3224174.907451067,5042.423543482704,550.569310817577,2.875182893243209,0.9895770896492516,1.0716259184504515,1.902357021609605,1.6961361418645675,0.6141438338512156,0.5814291968343726,0.9999490617227422,0.9954307200785596,-0.5366349683085214,0.9984466663493924,0.4781194901666474,172.27127053463218,0.0061480322347098,8.001405446072575,0.9927887801591996,0.0150005075107767,344.54254106926345,6.462652455377037,138.36112342770508,8.178704916960774,24771.216823701485,0.1685174109575256,2.9538981845751247,3925.745494744719,143.67875732709993,29864.974318854383,15.930018027824076,464517.7987278479,0.0100912710365039,0.0002653612238704,0.1895117783420851,5869.427355469031,1.405209816705466e-05,2562.5379988027853,0.0258195613351551,150.9073971190651,30145.9738826758,3.13610243483992,92414.8515618368,0.0015105390289129,0.0001527200196849,6.857262967829122,53460.59390104016,0.5355503371746334,0.6747202285792034,0.904131896481722,0.7589515485783354,23047.356940555983,6.371698434984126e-05,718.5037847465175,0.0228517201433279,190.81111188434875,31115.524680363844,104.10142484574772,2973102.703962852,0.0328207014568584,9.649638936827046e-05,7353.274791679919,0.2338679089014667,0.4943101873782259,15678.236586030896,1.8024820672018104e-05,8.70661113516407,0.213898431919453,82.24471442103821,0.1041222939218426,0.0005468127485625,1948.1242163822467,0.0192070182174147,3.245933629157652,186,21,761,677,1,515.0460083676315,449.6921936120276,95.38652074968536,83.28299425694752,1093,933,1,0.1852,0.1852,1093,933
10002.png,5020.519681759824,0.0,16383.0,371548,4,0.6468984516726195,231.4326279264376,184.4808,126.2736,211.46350731982105,211.46350731982105,13313.766528900544,149.71340867213792,0.0987984796574277,27495.89247710182,2.0652226713917328,13356.46695168,4489.0,5361.0,8868615183593.0,5.68023040193065,441.0,3.1863392328073123,6259.0,264.11825231401576,4874.411088203947,4830.0,4097.0,2162.0,185.7402849644844,4885.628512248516,0.6915191634401681,318810397598.2305,0.0226350962452698,109482.50289006755,1219.867369501448,1482849.070072916,12245.119936795589,685.8187386235231,4.970367966206724,0.9855979229462531,1.6830381932398637,2.370612937432571,2.111538609945665,0.4944751731352613,0.4309552556414182,0.9993599480291064,0.9814885319792036,-0.4454996328844499,0.9966761964759262,0.4189587020038213,32.39836261084879,0.0031729664201095,8.816416717117908,0.9865883409630348,0.007660638537732,64.7967252216977,6.66513819693315,172.69727664743266,7.909961262180043,87369.41536490574,0.2351497393739321,1.53078385718363,8410.02473973753,175.17713562613395,1231.510585442527,8.093635277272385,8982.991250121115,0.0150052710425913,0.0016844238659305,0.332882361530692,453.2082505963909,0.0005091968484521,6690.123173463458,0.0223733705014808,177.96925772206131,1258.2650239462268,1.8576626151886848,2207.696374007817,0.0032394130701863,0.0016487050329943,6.575128685772938,202420.96836038787,0.6764795420236149,0.804774214906284,0.3116342054119854,0.8494574980956664,1086.8402955439572,0.0013769723064908,3248.2539196179864,0.0215430025176945,188.15676049960024,1353.132093115798,14.145682451253482,14934.89990051731,0.0274025115274364,0.0015367195446857,49777.85088207985,0.3301356339174947,0.5922669613444839,842.3562266880767,0.0008672327044385,8.02071021128601,0.405815668500436,8.073534038791713,2.942999371368875,0.0001172754654659,3726.929334657413,0.0480557212695743,0.4350244620807167,181,89,982,891,1,678.9091907371322,473.6403156523518,128.72118256376027,89.80220384768589,1305,1137,1,0.1896,0.1896,1305,1137
10003.png,1788.3790153181349,1.0,4082.0,1497820,3,0.7208922751022395,313.9008359071865,253.672,197.432,294.47570822735105,294.47570822735105,32752.61494626541,226.2886877536264,0.0739476507527834,66945.86068112242,2.0439852143395303,32808.24928,1042.0,2099.0,3874577616265.0,6.00267425121878,621.0,2.485694409105238,3069.0,336.44077529333146,1556.2767268430118,1522.0,617.0,2452.0,249.32456407240468,1608.3566902846603,0.3491511394965593,84868748106.66855,0.0171740425904986,164813.99267022795,1760.3313646430522,2713348.83154419,11692.91286376317,1046.6228141113008,3.2999429555088327,0.9937119511373323,1.365896217587955,2.120193955064867,1.4104047851321593,0.5412817143950273,0.4899526562539845,0.9996637647466268,0.986529253667784,-0.5228694001517278,0.9990097293255648,0.4580919257877386,38.72338278832487,0.0028408919921231,8.86180390183424,0.9938406597464692,0.005417048722573,77.44676557664971,6.996077864586089,262.4806892667024,8.39746625647024,316183.54389713047,0.211095821859189,1.873713397512971,25723.62447290061,263.7491076568626,1766.9392784179674,10.310034583594824,16798.38711727711,0.0170119936843179,0.001387435563338,0.2661729957212797,505.09440689169486,0.0003137954975604,19663.540553115163,0.0172301060401177,260.33709536433696,1801.0988153389546,2.160956240224388,3690.380452157322,0.0032415782482473,0.0013248497682372,7.034114611452919,709257.619528821,0.6204416210706785,0.7619331762161008,0.4329118635438014,0.815582475879254,1489.1003546714078,0.0010444008973125,8528.351938652952,0.0175096792802869,249.9831172605508,1902.6372660733168,26.716820136942708,40221.32954328478,0.0520835091364893,0.0011628425499175,132556.36250808413,0.2721533317074397,0.5326662417002521,1045.3758876058837,0.0005802257299419,8.623015627394915,0.3251825987101254,17.259993988578223,5.7535884010661205,4.853839355797439e-05,3368.950993028079,0.044808341823329,0.1912775718354218,285,185,1719,1605,1,1132.29267735776,951.7224506282464,167.57931624894846,140.85492269298047,2278,2061,1,0.148,0.148,2278,2061
10004.png,5606.361341961601,0.0,16383.0,136861,5,0.5864602194548773,153.6571338547394,138.7148,68.8944,151.084384721122,151.084384721122,4667.976439096242,90.11379644125792,0.1365000555762777,9895.484583049903,2.119866008785115,4694.2009134400005,5473.0,6246.0,4633121824627.0,5.603555977657361,380.0,6.868424800844757,7119.0,244.904063807382,5809.084392193539,5764.0,3904.0,3215.0,161.9816541980064,5818.31199182874,-0.1846921991295064,158911630787.7545,0.0254812048508493,107292.95863153249,6061.232166980839,2883138.255956946,-2127.710887244388,659.9184424842787,2.1906012542581745,0.9933651370148816,1.043272088799425,1.859794398811225,1.0777025045266528,0.6123075616492967,0.5793371304343139,0.9998684671344912,0.9920412436559204,-0.5519931442637214,0.9988666652875728,0.4851857581723955,76.79061927962982,0.0058206628065053,8.092422898503393,0.9999999996498334,0.0152666283722447,153.5812385592596,6.583547962453217,165.52726093463409,8.261513598983852,23833.644011076933,0.1741448916132202,2.729569324486305,3487.383177092086,171.7711834156606,6082.947464946186,15.336969626117009,88293.43034904027,0.0253096271743663,0.0010073414583608,0.1873494599770929,1224.189428065646,0.0001315567882459,2310.755477847543,0.024776138540583,172.45201803439642,6205.104144248551,2.9886938680226467,17645.02616394845,0.0042420831048361,0.0008170731023516,6.942175375301384,50031.11171111904,0.5340901838166765,0.6811637354688334,0.8098963177614894,0.7578685522991518,4775.526318070164,0.0005319019862414,662.5083296725577,0.0223873324662101,187.9324748686248,6610.568614199304,92.69506302166052,500476.55739533,0.2317068231357523,0.0007119592433047,6466.314229716487,0.2185082360597603,0.4725701939552396,3227.0606692923006,0.0003187153182451,8.785081560076724,0.2162266825465253,71.30650877375925,0.2215483067181419,0.0005721482764546,2007.926754371526,0.022634328052656,2.8728585967212728,152,149,797,484,1,510.7093839735206,365.727687215496,94.583377911896,67.73276767230986,1014,801,1,0.1852,0.1852,1014,801
10005.png,2806.019062486874,0.0,16383.0,228130,2,0.5236628093422777,207.94383782792227,163.3464,89.0812,169.93056251022065,169.93056251022065,7794.219604954578,108.8924543023848,0.1171173011620575,16232.22898252605,2.082598362023012,7824.639995200001,2262.0,2975.0,1553683236938.0,5.499828898189818,379.0,3.3898975883951774,4079.0,223.6929675112108,2594.33361679744,2567.0,1904.0,2175.0,154.87403240525475,2609.696720407738,0.5572945313441839,53289843491.06594,0.0259197097868717,79950.05726161743,919.0685435451944,833356.8171824105,5975.731784731972,500.65446968858487,1.9696568023248395,0.9921516590225606,0.9460303610487408,1.7857257026626403,1.0512097148444248,0.6415523005875675,0.6144947042993775,0.9997461549495557,0.9894952201776668,-0.5626195748591594,0.9988664840114598,0.4770024481201824,28.18503533899312,0.0064388252478009,7.889663616200495,0.992528595883678,0.0148318059442711,56.370070677986206,6.484030249497215,125.65603162272735,8.310977500884942,35975.47642133871,0.1576972621809438,3.322498055345145,5913.063393679043,128.0253109023345,928.5496471310216,18.469276289834745,15751.682027791172,0.0542440117519751,0.0026623784690794,0.1638198596588051,176.02759965832507,0.000366184224969,3698.648918328668,0.0253825038693723,134.52829733700176,964.5225287327792,3.653391306110232,3239.1351574444298,0.0101978793716139,0.0025378445861097,6.989549659898862,73394.63179873073,0.5002348074314201,0.6385142243457678,1.1555712366963138,0.7336491450681242,730.6972402037716,0.0017747664734111,943.7340481106496,0.0234765553399499,160.19505090585494,1099.1717953182915,171.01062215477998,136938.28958431803,0.5096824139589498,0.0022267439325277,8921.492300803502,0.2219331899003334,0.4822345965531956,571.5470015855315,0.0009566623386951,8.846296282354931,0.1762109323631263,138.80480657139896,0.8650893014434107,0.0004100454734019,1562.0274658787628,0.0148238849201522,1.7474641220383689,95,157,882,637,1,526.4342436330163,447.4984219523956,97.49562192083462,82.87670774558366,1057,946,1,0.1852,0.1852,1057,946
10006.png,5183.542635174335,0.0,16383.0,730554,2,0.6393353222661747,302.6941374763088,257.4768,169.8816,280.40615713639386,280.40615713639386,26204.57599411583,193.52305393149769,0.0796490455986442,53565.88767143965,2.044142507150955,26262.07208064,4425.0,5266.0,17090367113781.0,5.72349299158468,444.0,2.921299139134019,6129.0,261.89328155297113,4825.601676262125,4800.0,3969.0,2160.0,183.01246895729645,4836.704272373341,0.4036023043570185,614367251464.9376,0.0218584450527247,107276.68045070904,1427.9136438512442,1337241.8343554237,7006.586103992784,678.4985946108552,2.796439761256222,0.991787802366228,1.2716700072171094,2.0242948627745987,1.1664318930697917,0.5540152150453141,0.506180471506402,0.99963934319464,0.9858992029239528,-0.5173782813716524,0.9986097098379862,0.47182386223642,35.482214470301344,0.0038626838690878,8.477796357819635,0.9920366737768496,0.0081875429942995,70.9644289406027,6.71540806434074,170.323758593028,8.136774075547404,151722.57139923947,0.2076815285375748,1.867846494931628,15968.774467048295,171.66183903087688,1435.4162909244217,10.768531826531646,14449.095671230329,0.0170579632363543,0.0014387252034412,0.2509370928379543,390.5759120058498,0.0003250589972375,11948.140980940932,0.0217458173694327,172.81107995293223,1461.580672494045,2.2258101636505416,3106.6012563881013,0.0033374699363625,0.0014007925465503,6.800684016409019,333349.7455681517,0.605989728603813,0.7520747952923398,0.4538698035332709,0.8065226249361824,1195.9949880533168,0.0011056939581277,4679.067679998542,0.0213194623508868,178.81093094541066,1557.159358283897,33.81875757492915,44215.01133163837,0.0561709378107753,0.0012911458992592,58052.3976325214,0.2645069467568887,0.5259827629926701,856.156591319422,0.0006448452550428,8.485957349918657,0.3004213240910323,22.73879003272112,3.9523086190611454,7.690841803035866e-05,2822.2200966023297,0.0371031953665602,0.2611897355619968,156,175,1358,1118,1,842.5255080391046,668.3813941200788,159.7428363242142,126.72511232516692,1695,1444,1,0.1896,0.1896,1695,1444
10007.png,4662.66012071207,0.0,16383.0,325541,2,0.6519691865772682,207.28049050197973,172.3464,119.448,188.1314538907304,188.1314538907304,11663.80290283812,135.1404927859129,0.1031147493926413,24120.71156234642,2.067997184389767,11702.59995456,4280.0,4962.0,6892195808588.0,5.396899936796415,378.0,3.102490901082938,5712.0,220.5707401306156,4593.204253842066,4550.0,3984.0,1728.0,156.95963193224827,4601.251341358437,0.665406877616193,247761757678.4508,0.027577769551225,73988.58883995954,748.1411098454478,658503.8280350631,6522.176691740101,463.2094419052357,2.9539565022736483,0.9873151746563664,1.268287892946362,2.045938426018457,1.3270141172584409,0.5601779611970366,0.5143436333410848,0.9993989548290116,0.98245806101262,-0.4871368963863529,0.997247907790226,0.4725224357865135,25.16100457988116,0.0050703445633168,8.14992819233046,0.9882819072955732,0.0134410746478514,50.32200915976233,6.380866670929731,116.5408496018773,7.850366730928944,65520.01836020655,0.2012650276315626,1.992328940093629,8977.694677475341,118.43704197785188,756.275658058432,11.300656445731876,7743.920778027959,0.0392999629235469,0.003172642368484,0.2445147874522385,208.3716621882633,0.0006906781390569,6569.537197741445,0.0271352271939531,121.409772260426,777.1337403391976,2.30301734982911,1669.2108622044984,0.0076105141208752,0.0030873595373672,6.515672439674527,144783.60493054442,0.5970762550100293,0.7436306025969079,0.4888048539365219,0.8007042813139236,635.7427809352619,0.0024178486031067,2448.0857868606395,0.025696022786164,132.43953660456765,856.9658343042479,37.68956975365011,24018.195988286046,0.1377293444376926,0.00280278507182,25026.896631713746,0.2626916546663071,0.5238159737243172,476.2837837494999,0.0013800050801483,8.225244663798975,0.2926543814757588,26.013681255775623,3.845278174882484,0.0001504792084124,1724.7703720864054,0.0375518993659147,0.3547551878412175,109,186,912,747,1,550.4383656743697,533.9604105166477,104.3631141318605,101.2388938339564,1157,1190,1,0.1896,0.1896,1157,1190
10008.png,515.1589231138742,0.0,4080.0,2150135,55,0.9550217800975168,414.5481961329694,421.448,332.071,432.6502665987853,432.6502665987853,41362.06351271876,395.902556207123,0.0659542108874362,87695.31532553259,2.1201871444002407,41542.75833500001,0.0,1556.0,1296533899824.0,2.305817872941092,0.0,4.676727650829401,3608.0,544.5236605093438,355.77017908177856,0.0,0.0,3608.0,295.8904541691804,776.5314934440194,1.71523825231137,25050331478.49951,0.5683582272665751,476428.7399865167,978.3129318861004,42089474.97619322,281755.04465840873,3000.257118030111,0.9879088428769306,0.999341548238826,0.3499043762434698,1.0204689056233074,0.8640200502296568,0.8907057922116752,0.8778761452330459,0.9999530662067816,0.9976325936380868,-0.7009607909598314,0.980019194056634,0.0999734459288515,15.11606377327959,0.5670124670401341,2.995213181390564,0.9999897288636534,0.7527330972698425,30.232127546559155,2.542909455400246,750.3112567182459,2.98774153054512,1241804.097925479,0.5775470367793087,7.203500565979805,1222046.9169838172,752.3325983114619,980.8510874898552,64.02200931569413,8352.50000069763,60.38884346993095,0.7535591914803964,0.0775085996950528,324.9357046402424,0.0095598849243644,6729.908622937683,0.0171184521892548,491.7442660549198,4290.686776967049,3101.531697093434,11495.632263162608,3095.443390807113,0.0295195983796703,7.325048573114462,235344.20941058337,0.5982653573601371,0.1827743374253244,3071.472051847465,0.8007237710699546,3636.175365476136,0.0016696534158796,3037.7147441520883,0.0171926329846117,346.7995199563995,4821.418836699927,10488361.320861183,10814433.001935624,10484442.909083234,0.0006588697464533,54846.10927232904,0.3104139482380086,0.5732249572854282,2867.6106609439425,0.0001955731403013,8.528092319303921,0.0821748401844535,10488213.2320442,1.650535427300458,0.0002381742140748,1785.8473616859533,0.0151337042920255,3.960676610976393,0,643,3032,2389,1,1565.4692454194735,2302.4067037651125,217.6002251133069,320.0345318233507,3032,3032,1,0.139,0.139,3032,3032
10009.png,4615.683271681793,0.0,16383.0,1045105,2,0.7764575500068155,328.1069291570073,258.9936,216.9024,327.3548736812696,327.3548736812696,37500.85389694668,254.76110235350967,0.0709425060230298,76372.73964859376,2.0365600169656948,37569.6017568,3660.0,4863.0,18793482316550.0,6.110767470688383,644.0,2.372283207130956,5512.0,358.9395888868753,4217.840542337851,4196.0,3218.0,2294.0,262.7835161946871,4240.564439041706,0.2838030567174466,675591109272.51,0.0158689968038238,192207.92107623693,2001.044727438046,3551540.748826672,12144.014840190592,1224.2820653598908,2.210056442122072,0.9963954558666066,1.1201422236308312,1.886961848505576,0.9451490701353285,0.5836776144576686,0.543976731366375,0.9997446959631308,0.9882043547493315,-0.5753155815711389,0.9995429617619328,0.4899921520686077,41.1767672323296,0.0031558158087927,8.702174668156296,0.996679301847047,0.006801608408848,82.35353446465919,7.105760203578027,306.6230304505034,8.622486518271971,202900.64157477,0.1941437861026117,2.1056332061558143,16584.767904660297,307.70870907049374,2008.3559307438009,12.579925462034916,23177.9494739763,0.0189314918612809,0.0013503422209983,0.2156358523899204,479.0806745559629,0.000255226806164,11848.613096336436,0.0157357374174834,310.9925177851028,2059.9381854011685,2.4958730401501628,4815.387194902839,0.003551887474879,0.0013043363359289,7.302253508290131,427996.4092386069,0.567521884334826,0.720449859105066,0.5633673082235652,0.7810562906709652,1640.6178294410777,0.0009912681259669,4013.314137364042,0.0153109218161232,322.71067499868,2235.1819579507173,59.71927850115024,101557.70681860668,0.0983204072091293,0.0011725965445143,63365.66592146376,0.2417420424974105,0.501604411846851,1181.4070074210454,0.0005472763330358,9.093928535905098,0.2508082919898001,43.82224026817518,3.795583752217409,8.470871915704155e-05,2489.960240137505,0.0523638812004474,0.2595177305699835,247,91,1366,1394,1,912.4519019620038,706.9323082369714,173.0008806119959,134.03436564172978,1843,1928,1,0.1896,0.1896,1843,1928
10010.png,4306.514326953136,0.0,16383.0,543093,2,0.6439839149216166,272.35792992695457,222.0216,142.95839999999998,242.4179660193526,242.4179660193526,19472.573058057296,175.3941259743075,0.0875714997812834,39970.25308145051,2.0526436317521863,19523.19405888,3738.0,4603.0,9362125659913.0,5.71683573275604,433.0,3.119615481211527,5612.0,263.4314014911294,4138.553582903849,4111.0,3368.0,2244.0,181.46805134710937,4151.931028362892,0.5708353425288233,336551191162.6581,0.0220560159564317,110905.50571625988,1197.1380272228196,1514419.9197322673,10369.582161432962,699.3712204244209,2.897207401096024,0.9917432952646472,1.2545909990013588,2.028977927654477,1.302613876200304,0.5622767371795424,0.516980777967047,0.999650796661406,0.9865511327694254,-0.5173761762724243,0.998570787104718,0.4742941727737569,31.98466339712241,0.0040178272440566,8.465622060173038,0.992363659248163,0.0083266490698921,63.96932679424482,6.705719449462045,175.56710695637935,8.180105227918032,109719.82617894172,0.202027693560664,1.988890366217556,11978.467873826396,177.5854362216255,1205.918049026594,11.402866544035737,12906.866383842178,0.0244680991546637,0.0020019213267159,0.2393101938074021,313.2316703452257,0.0004377290461926,8812.83369625607,0.0218830524623589,180.82628112521465,1227.7930583873367,2.317540884165631,2718.865297565714,0.0047800119234464,0.0019610122572525,6.837659029261684,239446.5083837773,0.5934426139840512,0.741472454993896,0.4916469209132685,0.798230884075779,994.1781482712704,0.0015389459890066,3331.4060949274763,0.0212214449649164,193.6454798833248,1309.0632743672882,36.21015651376264,39646.01762611239,0.0783804804907336,0.0018383083655602,39418.46432416249,0.2511002103677627,0.5103488741175027,701.1635657923587,0.0008832286345097,8.573810188363442,0.2890536243332173,24.24156178177532,2.79667916224461,0.0001150308106765,2890.7524301564654,0.0321461566043936,0.4799786827265267,206,78,1171,1008,1,788.2223449759065,539.6212784918973,149.44695660743187,102.31219440206372,1534,1247,1,0.1896,0.1896,1534,1247
